code,minutes,points_per_game,web_name,team_code,element_type,season
200720,900,4.5,Kelleher,94,1,2025-26
235448,0,0.0,Balcombe,94,1,2025-26
503300,0,0.0,Cox,94,1,2025-26
535017,0,0.0,Eyestone,94,1,2025-26
507433,144,1.0,Valdimarsson,94,1,2025-26
432830,3420,3.3,Collins,94,2,2025-26
249231,3092,2.5,Lewis-Potter,94,2,2025-26
191866,1433,1.6,Ajer,94,2,2025-26
194010,94,0.8,Henry,94,2,2025-26
607464,523,2.2,Kayode,94,2,2025-26
231065,1912,2.1,Pinnock,94,2,2025-26
226956,1100,1.9,Roerslev,94,2,2025-26
444765,2584,2.0,Van den Berg,94,2,2025-26
622536,0,0.0,Arthur,94,2,2025-26
612534,0,0.0,Fredrick,94,2,2025-26
472713,0,0.0,Hickey,94,2,2025-26
570241,28,1.0,Ji-soo,94,2,2025-26
499717,4,1.0,Meghoma,94,2,2025-26
513418,2281,3.9,Schade,94,3,2025-26
440089,2911,3.4,Damsgaard,94,3,2025-26
543295,0,0.0,Milambo,94,3,2025-26
244858,443,1.8,Carvalho,94,3,2025-26
56979,0,0.0,Henderson,94,3,2025-26
204580,2251,2.3,Janelt,94,3,2025-26
207283,846,1.6,Jensen,94,3,2025-26
626464,11,1.0,Nunes,94,3,2025-26
428580,23,1.0,Onyeka,94,3,2025-26
508395,1435,1.4,Yarmoliuk,94,3,2025-26
606689,0,0.0,Donovan,94,3,2025-26
628204,53,1.0,Konak,94,3,2025-26
220695,112,1.0,Maghoma,94,3,2025-26
450539,0,0.0,Peart-Harris,94,3,2025-26
591357,3,1.0,Trevitt,94,3,2025-26
216646,2921,5.3,Wissa,94,4,2025-26
502500,167,1.1,Thiago,94,4,2025-26
533710,0,0.0,Morgan,94,4,2025-26
49262,180,4.5,Steele,36,1,2025-26
489639,3240,2.9,Verbruggen,36,1,2025-26
209288,0,0.0,McGill,36,1,2025-26
472739,0,0.0,Rushworth,36,1,2025-26
240514,0,0.0,Scherpen,36,1,2025-26
204120,0,0.0,Boscagli,36,2,2025-26
550090,0,0.0,Coppola,36,2,2025-26
465730,0,0.0,De Cuyper,36,2,2025-26
83299,2081,1.8,Dunk,36,2,2025-26
204214,2399,2.1,Estupiñan,36,2,2025-26
231416,385,3.2,F.Kadıoğlu,36,2,2025-26
223434,959,1.4,Igor,36,2,2025-26
232792,856,2.8,Lamptey,36,2,2025-26
469142,2960,2.6,Van Hecke,36,2,2025-26
111478,1694,2.8,Veltman,36,2,2025-26
110735,885,2.8,Webster,36,2,2025-26
439135,19,0.5,Cashin,36,2,2025-26
589100,0,0.0,Slater,36,2,2025-26
547720,0,0.0,Tasker,36,2,2025-26
451340,2597,4.0,Mitoma,36,3,2025-26
463067,1651,3.4,Georginio,36,3,2025-26
109345,161,0.9,March,36,3,2025-26
592031,1831,3.2,Minteh,36,3,2025-26
474120,1155,2.4,Enciso,36,3,2025-26
513433,676,2.1,Gruda,36,3,2025-26
532529,1839,3.4,Hinshelwood,36,3,2025-26
219249,929,2.4,O'Riley,36,3,2025-26
516211,0,0.0,Sima,36,3,2025-26
509416,1958,2.2,Ayari,36,3,2025-26
535301,2660,2.6,Baleba,36,3,2025-26
536916,1508,2.4,Buonanotte,36,3,2025-26
514254,507,1.9,Gomez,36,3,2025-26
15157,170,1.5,Milner,36,3,2025-26
441192,8,1.0,Sarmiento,36,3,2025-26
549074,0,0.0,Watson,36,3,2025-26
467779,1003,2.1,Wieffer,36,3,2025-26
611695,0,0.0,Yalcouye,36,3,2025-26
567121,0,0.0,Knight,36,3,2025-26
550141,0,0.0,Mazilu,36,3,2025-26
513834,0,0.0,Moran,36,3,2025-26
50175,2109,4.2,Welbeck,36,4,2025-26
487117,385,1.3,Ferguson,36,4,2025-26
608181,0,0.0,Tzimas,36,4,2025-26
647850,0,0.0,Kostoulas,36,4,2025-26
215059,2880,3.9,Sánchez,8,1,2025-26
508479,540,3.0,Jörgensen,8,1,2025-26
549939,0,0.0,Penders,8,1,2025-26
471798,0,0.0,Slonina,8,1,2025-26
179268,2988,3.7,Cucurella,8,2,2025-26
