"Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT"
"200600","Podence","MID","3","Wolverhampton","5.1","a","0.7","1","0.5","92","2.9","18.04","0","3","0.00","1760","6","1","6","31","0","0","0","5","0","0","10","249","376.0","512.8","580","146.8"
"95463","Ward","GK","1","Leicester City","3.8","d","18.4","98","95.1","91","3.5","23.95","0","0","0.00","2340","0","0","6","46","0","1","0","0","0","77","12","485","631.4","0.0","0","63.0"
"172632","Gray","MID","3","Everton","5.1","a","0.6","0","0.8","91","2.8","17.84","0","3","0.00","2501","4","1","7","39","0","0","0","3","0","0","4","284","410.4","605.2","670","168.5"
"50175","Welbeck","STR","4","B & H Albion","6.5","a","2.1","0","0.1","91","2.9","14.00","0","8","0.00","1844","6","5","6","28","0","0","0","0","0","0","5","296","378.2","390.6","782","155.4"
"437495","Meslier","GK","1","Leeds United","4.4","a","1.7","1","2.7","90","2.6","20.45","0","2","0.00","3060","0","0","5","67","0","0","0","3","0","94","8","548","738.6","0.0","17","75.9"
"167074","Tete","DEF","2","Fulham","4.4","a","0.4","0","0","90","2.9","20.45","0","6","0.00","2569","1","5","7","36","0","0","0","8","0","0","1","484","617.8","385.6","110","111.6"
"96994","De Cordova-Reid","MID","3","Fulham","5.4","a","0.1","0","0.1","90","2.5","16.67","0","6","0.00","2473","4","1","8","40","0","0","0","8","0","0","3","289","365.2","326.6","508","119.7"
"243298","Gakpo","MID","3","Liverpool","7.6","a","5.3","0","0.1","90","4.3","11.84","0","7","0.00","1455","7","3","6","19","0","0","0","0","0","0","4","256","331.8","271.1","415","101.3"
"122806","McGinn","MID","3","Aston Villa","5.1","a","0.6","0","0","90","2.6","17.65","0","6","0.00","2692","1","5","10","31","0","0","0","7","0","0","3","354","375.0","349.2","326","105.1"
"37915","Lloris","GK","1","Tottenham","5.4","i","3.2","1","0.2","89","3.6","16.48","0","0","0.00","2205","0","0","7","39","1","0","0","0","0","79","12","456","540.0","0.0","0","54.0"
