ID,Player Name,Position,HidPos,Team,Value,Status,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Picked %,Picked Top 100 %,Picked Top 1000 %,Wk 47,Wk 46,Wk 45,Wk 44,Wk 43,Wk 42,Wk 41,Wk 40,Wk 39,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
187,Firmino,STR,4,Liverpool,9.3,a,155,4.1,16.67,19,6,3.17,2985,9,9,16,26,0,0,0,0,0,0,20,592,733.6,703.0,1638,307.5,10.1,1,0.3,4.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,9.0,2.0,9.0,2.0,2.0,12.0,,2.0,2.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,8.0,12.0,2.0,8.0,5.0
581,Daly,STR,4,Crystal Palace,4.5,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Kirby,MID,3,Crystal Palace,4.5,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,McGregor,MID,3,Crystal Palace,4.5,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Tavares,DEF,2,Crystal Palace,4.0,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Tosun,STR,4,Everton,5.7,i,24,2.4,4.21,0,0,0.0,462,2,0,2,6,0,0,0,0,0,0,1,86,89.0,63.4,229,37.7,0.1,0,0.0,,,,,,,,,,,1.0,1.0,,,2.0,7.0,1.0,,,,2.0,,,,,2.0,2.0,5.0,,,,,1.0,,,,,
149,Stekelenburg,GK,1,Everton,3.9,a,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,7.2,6,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,van Dijk,DEF,2,Liverpool,6.5,a,178,4.7,27.38,22,6,3.67,3420,5,2,15,33,0,0,0,1,0,0,14,804,930.2,152.4,467,154.8,42.4,5,13.6,9.0,1.0,1.0,2.0,2.0,7.0,0.0,9.0,6.0,6.0,1.0,1.0,6.0,6.0,8.0,15.0,6.0,7.0,6.0,6.0,,7.0,6.0,1.0,17.0,2.0,2.0,1.0,2.0,2.0,2.0,8.0,2.0,2.0,7.0,2.0,2.0,8.0
155,Lookman,MID,3,Everton,5.0,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Gueye,MID,3,Everton,5.0,u,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,Schneiderlin,MID,3,Everton,4.4,u,18,1.2,4.09,0,0,0.0,998,0,0,1,20,0,0,0,4,1,0,0,132,143.2,78.5,32,25.5,0.5,0,0.0,,,,,,,,,,,,0.0,2.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,0.0,2.0,,,,2.0,1.0,1.0,1.0,,2.0,,0.0
205,Delph,DEF,2,Everton,5.3,i,24,1.5,4.53,0,0,0.0,1187,0,0,2,24,0,0,0,3,1,0,2,202,183.0,146.7,24,35.4,0.2,0,0.0,,,,,,,,,,,,1.0,,-2.0,1.0,2.0,1.0,0.0,1.0,8.0,6.0,,,,,,,2.0,0.0,,2.0,1.0,1.0,0.0,0.0,,,
