"Id","Code","Player Name","Position","HidPos","Team","Value","Status","Picked %","PickedTop 100 %","PickedTop 1000 %","Tot Pts","PPG","PPM","T6","G6","PPG6","Min","Goals","Assists","CS","GC","OG","PS","PM","Y","R","Saves","Bonus","BPS","Inf","Creat","Threat","ICT","Wk 38","Wk 37","Wk 36","Wk 35","Wk 34","Wk 33","Wk 32","Wk 31","Wk 30","Wk 29","Wk 28","Wk 27","Wk 26","Wk 25","Wk 24","Wk 23","Wk 22","Wk 21","Wk 20","Wk 19","Wk 18","Wk 17","Wk 16","Wk 15","Wk 14","Wk 13","Wk 12","Wk 11","Wk 10","Wk 9","Wk 8","Wk 7","Wk 6","Wk 5","Wk 4","Wk 3","Wk 2","Wk 1"
"536","79602","Bentley","GK","1","Wolverhampton","3.9","a","1.7","13","13.5","9","4.5","2.31","9","2","4.50","180","0","0","1","4","0","0","0","0","0","8","1","29","60.0","0.0","0","6.0","","2","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"503","85971","Son","MID","3","Tottenham","9.7","d","4.1","11","12.8","129","4.3","13.30","3","2","1.50","2106","7","10","4","35","0","0","1","1","0","0","12","543","629.6","734.9","707","207.2","","2","1","","","","","1","2","1","6","1","8","3","10","2","2","8","1","0","2","2","14","7","1","2","6","2","4","","8","","","10","2","3","16","2"
"231","224967","Mykolenko","DEF","2","Everton","4.4","a","6.7","10","12.6","121","3.5","27.50","28","6","4.67","3082","1","3","11","39","0","0","0","4","0","0","9","467","621.4","428.5","100","115.2","9","8","8","0","2","1","6","","2","2","2","6","1","2","7","6","1","2","2","1","1","7","7","","11","-1","6","6","2","2","7","","2","","1","1","0","1"
"402","114243","J.Murphy","MID","3","Newcastle United","5.2","a","14.3","8","12.2","159","4.5","30.58","18","6","3.00","2356","8","13","11","31","0","0","0","4","0","0","11","601","713.4","625.2","519","185.6","2","2","5","1","6","2","19","16","5","","3","1","7","2","8","6","2","3","5","3","6","13","13","7","2","","1","","","1","2","3","2","4","1","4","1","1"
"91","118342","Flekken","GK","1","Brentford","4.5","a","10","13","11.6","138","3.7","30.67","29","6","4.83","3275","0","2","7","55","0","0","0","1","0","153","12","584","1298.4","30.3","0","132.5","3","2","9","1","13","1","2","10","1","3","3","3","7","10","","3","3","3","6","1","3","2","3","3","3","2","9","1","4","1","4","2","2","3","2","3","3","4"
"521","37096","Fabianski","GK","1","West Ham","3.9","a","10","7","11.4","39","2.8","10.00","3","1","3.00","1160","0","0","2","21","0","0","0","2","0","50","2","143","387.8","0.3","0","38.7","3","","","","","","","","","","","","","","","","2","1","","","2","3","4","2","2","-1","6","9","2","3","","","","","","1","",""
"15","154561","Raya","GK","1","Arsenal","5.6","a","32.6","6","10.6","142","3.7","25.36","19","6","3.17","3420","0","0","13","34","0","0","0","3","0","86","10","555","755.4","10.7","0","76.7","2","7","2","1","","7","2","2","2","6","3","6","2","7","3","9","1","2","3","2","6","3","6","2","6","2","6","2","3","0","1","2","1","4","9","2","10","8"
"209","169593","Matthews","GK","1","Crystal Palace","3.9","a","0.4","13","10.2","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","219847","Havertz","STR","4","Arsenal","7.7","a","6.2","9","9.8","97","4.2","12.60","1","2","0.50","1872","9","3","7","20","0","0","0","5","0","0","14","343","467.6","269.0","711","144.8","1","0","","","","","","","","","","","","","12","2","7","1","","","7","6","2","5","2","6","","1","1","2","2","8","6","2","2","8","2","12"
"291","218218","Faes","DEF","2","Leicester City","3.8","a","5.2","8","8.8","55","1.6","14.47","18","6","3.00","2812","1","0","3","63","0","0","0","4","0","0","2","241","678.0","68.5","121","86.9","1","7","1","7","0","2","","1","1","1","2","1","0","1","0","2","0","1","1","","","1","","1","1","0","0","1","2","1","1","6","0","2","1","1","7","1"
"442","210462","Sangaré","MID","3","Nottingham Forest","4.3","a","1.2","5","6.9","20","1.5","4.65","8","5","1.60","584","0","1","2","6","0","0","0","3","0","0","0","107","130.6","80.3","21","23.2","1","3","2","1","1","","","","1","","1","","1","1","4","","","","","","","","","","","","","","","","","","","","","0","2","2"
"227","222627","J.Virginia","GK","1","Everton","3.8","a","1","8","6.7","0","0","0.00","0","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
