ID,Player Name,Position,HidPos,Team,Value,Status,Picked %,Picked Top 100 %,Picked Top 1000 %,Tot Pts,PPG,PPM,T6,G6,PPG6,Min,Goals,Assists,CS,GC,OG,PS,PM,Y,R,Saves,Bonus,BPS,Inf,Creat,Threat,ICT,Wk 38,Wk 37,Wk 36,Wk 35,Wk 34,Wk 33,Wk 32,Wk 31,Wk 30,Wk 29,Wk 28,Wk 27,Wk 26,Wk 25,Wk 24,Wk 23,Wk 22,Wk 21,Wk 20,Wk 19,Wk 18,Wk 17,Wk 16,Wk 15,Wk 14,Wk 13,Wk 12,Wk 11,Wk 10,Wk 9,Wk 8,Wk 7,Wk 6,Wk 5,Wk 4,Wk 3,Wk 2,Wk 1
642,Willian José,STR,4,Wolverhampton,6.8,a,0.2,0,0.0,40,2.4,5.88,7,5,1.4,1106,1,1,5,13,0,0,0,0,0,0,3,131,89.6,165.9,256,50.9,2.0,1.0,1.0,1.0,,2.0,9.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
704,Boyes,DEF,2,Sheffield Utd,4.0,a,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Seriki,MID,3,Sheffield Utd,4.5,a,0.0,0,0.0,1,1.0,0.22,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,King,MID,3,West Bromwich Albion,4.5,a,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Benteke,STR,4,Crystal Palace,5.5,a,1.3,2,2.5,106,3.5,19.27,32,6,5.33,1808,10,2,5,34,0,0,0,1,1,0,14,338,512.6,236.5,1030,177.7,,6.0,7.0,15.0,2.0,2.0,,8.0,2.0,,2.0,7.0,4.0,8.0,2.0,1.0,1.0,,5.0,,2.0,4.0,2.0,2.0,,3.0,2.0,13.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,
431,Fabianski,GK,1,West Ham,5.0,a,3.2,0,1.1,133,3.8,26.6,18,5,3.6,3150,0,0,10,44,0,1,0,2,0,102,11,634,745.4,0.0,0,74.5,9.0,,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,6.0,,3.0,7.0,6.0,2.0,1.0,1.0,8.0,,,8.0,1.0,2.0,2.0,3.0,2.0,3.0,9.0,15.0,2.0,7.0,2.0,6.0,7.0,1.0,1.0
547,Rúnarsson,GK,1,Arsenal,4.4,a,0.1,0,0.0,1,1.0,0.23,0,0,0.0,15,0,0,0,0,0,0,0,0,0,2,0,8,16.6,0.0,0,1.7,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
9,Xhaka,MID,3,Arsenal,5.2,a,0.4,0,0.0,70,2.3,13.46,8,4,2.0,2519,1,2,10,27,0,0,0,7,1,0,1,396,433.8,291.6,132,86.0,3.0,1.0,,,2.0,2.0,2.0,3.0,,2.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,8.0,,,-2.0,1.0,2.0,3.0,,,1.0,2.0,1.0,1.0,2.0,3.0
627,Tau,MID,3,B & H Albion,4.9,a,0.0,0,0.0,7,2.3,1.43,4,1,4.0,101,0,1,0,2,0,0,0,0,0,0,0,31,26.8,35.8,6,6.9,,,4.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,
658,Nartey,DEF,2,Burnley,4.0,a,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
