ID,Min,PPG,Player Name,team_code,season,New In Team,Position,New In League,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
159533,1756,2.6,Adama,54,2025-26,False,3.0,False,8,,2673.0,2.6,2.35,2.1999999999999997,1756.0,1059.5,1198.6666666666667,1756.0,1059.5,1059.5
165809,2667,3.3,Bernardo,43,2025-26,False,3.0,False,8,,2218.0,3.3,3.8000000000000003,3.5666666666666664,2667.0,2621.5,2479.6666666666665,2667.0,2621.5,2479.6666666666665
166477,1642,1.9,Castagne,54,2025-26,False,2.0,False,5,,2673.0,1.9,2.5,2.6999999999999997,1642.0,2136.0,2509.0,1642.0,2136.0,2136.0
166989,3025,3.4,Tielemans,7,2025-26,False,3.0,False,7,,1613.0,3.4,2.9,2.8666666666666667,3025.0,2319.0,2326.3333333333335,3025.0,2319.0,2319.0
167074,1773,2.2,Tete,54,2025-26,False,2.0,False,4,,2673.0,2.2,2.05,2.3333333333333335,1773.0,1318.0,1735.0,1773.0,1318.0,1735.0
167512,0,0.0,O'Nien,56,2025-26,True,2.0,True,0,,,,,,,,,,,
167887,0,0.0,Laurent,90,2025-26,True,3.0,True,0,,,,,,,,,,,
168636,330,1.9,Enes Ünal,91,2025-26,False,4.0,False,2,,2790.0,1.9,2.2,2.2,330.0,323.5,323.5,330.0,323.5,323.5
168991,176,1.0,Philip,91,2025-26,False,3.0,False,6,,2790.0,1.0,1.55,2.1999999999999997,176.0,780.5,1442.3333333333333,176.0,780.5,1442.3333333333333
169359,20,1.0,Targett,4,2025-26,False,2.0,False,9,,299.0,1.0,0.85,1.2666666666666666,20.0,48.5,232.33333333333334,20.0,48.5,232.33333333333334
169528,3166,2.9,Robinson,54,2025-26,False,2.0,False,4,,2673.0,2.9,2.8499999999999996,2.8000000000000003,3166.0,3216.0,3173.3333333333335,3166.0,3216.0,3173.3333333333335
169593,0,0.0,Matthews,31,2025-26,False,1.0,False,4,,3116.0,0.0,0.5,0.3333333333333333,0.0,1.5,1.0,0.0,1.5,1.0
